Year,Month,City_Region,Province,NewHousePrice_Index_Type,UOM,VALUE,STATUS,DECIMALS,HousePrice_Year,HousePrice_Month,HousePrice_Day,Vancouver,Toronto,Montreal
1992,12,Toronto, Ontario,Total (house and land),"Index, 201612=100",51.0,,1,,,,,,
1993,01,Toronto, Ontario,Total (house and land),"Index, 201612=100",51.0,,1,,,,,,
1993,02,Toronto, Ontario,Total (house and land),"Index, 201612=100",50.6,,1,,,,,,
1993,03,Toronto, Ontario,Total (house and land),"Index, 201612=100",50.6,,1,,,,,,
1993,04,Toronto, Ontario,Total (house and land),"Index, 201612=100",50.5,,1,,,,,,
1993,05,Toronto, Ontario,Total (house and land),"Index, 201612=100",50.1,,1,,,,,,
1993,06,Toronto, Ontario,Total (house and land),"Index, 201612=100",50.7,,1,,,,,,
1993,07,Toronto, Ontario,Total (house and land),"Index, 201612=100",50.3,,1,,,,,,
1993,08,Toronto, Ontario,Total (house and land),"Index, 201612=100",50.5,,1,,,,,,
1993,09,Toronto, Ontario,Total (house and land),"Index, 201612=100",50.6,,1,,,,,,
1993,10,Toronto, Ontario,Total (house and land),"Index, 201612=100",50.3,,1,,,,,,
1993,11,Toronto, Ontario,Total (house and land),"Index, 201612=100",50.2,,1,,,,,,
1993,12,Toronto, Ontario,Total (house and land),"Index, 201612=100",50.2,,1,,,,,,
1994,01,Toronto, Ontario,Total (house and land),"Index, 201612=100",50.1,,1,,,,,,
1994,02,Toronto, Ontario,Total (house and land),"Index, 201612=100",50.0,,1,,,,,,
1994,03,Toronto, Ontario,Total (house and land),"Index, 201612=100",50.1,,1,,,,,,
1994,04,Toronto, Ontario,Total (house and land),"Index, 201612=100",50.1,,1,,,,,,
1994,05,Toronto, Ontario,Total (house and land),"Index, 201612=100",50.1,,1,,,,,,
1994,06,Toronto, Ontario,Total (house and land),"Index, 201612=100",50.4,,1,,,,,,
1994,07,Toronto, Ontario,Total (house and land),"Index, 201612=100",50.4,,1,,,,,,
1994,08,Toronto, Ontario,Total (house and land),"Index, 201612=100",50.5,,1,,,,,,
1994,09,Toronto, Ontario,Total (house and land),"Index, 201612=100",50.6,,1,,,,,,
1994,10,Toronto, Ontario,Total (house and land),"Index, 201612=100",50.7,,1,,,,,,
1994,11,Toronto, Ontario,Total (house and land),"Index, 201612=100",50.5,,1,,,,,,
1994,12,Toronto, Ontario,Total (house and land),"Index, 201612=100",50.5,,1,,,,,,
1995,01,Toronto, Ontario,Total (house and land),"Index, 201612=100",50.6,,1,,,,,,
1995,02,Toronto, Ontario,Total (house and land),"Index, 201612=100",50.9,,1,,,,,,
1995,03,Toronto, Ontario,Total (house and land),"Index, 201612=100",51.0,,1,,,,,,
1995,04,Toronto, Ontario,Total (house and land),"Index, 201612=100",50.9,,1,,,,,,
1995,05,Toronto, Ontario,Total (house and land),"Index, 201612=100",50.8,,1,,,,,,
1995,06,Toronto, Ontario,Total (house and land),"Index, 201612=100",50.5,,1,,,,,,
1995,07,Toronto, Ontario,Total (house and land),"Index, 201612=100",50.7,,1,,,,,,
1995,08,Toronto, Ontario,Total (house and land),"Index, 201612=100",50.7,,1,,,,,,
1995,09,Toronto, Ontario,Total (house and land),"Index, 201612=100",50.7,,1,,,,,,
1995,10,Toronto, Ontario,Total (house and land),"Index, 201612=100",50.5,,1,,,,,,
1995,11,Toronto, Ontario,Total (house and land),"Index, 201612=100",50.3,,1,,,,,,
1995,12,Toronto, Ontario,Total (house and land),"Index, 201612=100",50.5,,1,,,,,,
1996,01,Toronto, Ontario,Total (house and land),"Index, 201612=100",50.6,,1,,,,,,
1996,02,Toronto, Ontario,Total (house and land),"Index, 201612=100",50.1,,1,,,,,,
1996,03,Toronto, Ontario,Total (house and land),"Index, 201612=100",50.2,,1,,,,,,
1996,04,Toronto, Ontario,Total (house and land),"Index, 201612=100",50.0,,1,,,,,,
1996,05,Toronto, Ontario,Total (house and land),"Index, 201612=100",49.9,,1,,,,,,
1996,06,Toronto, Ontario,Total (house and land),"Index, 201612=100",50.0,,1,,,,,,
1996,07,Toronto, Ontario,Total (house and land),"Index, 201612=100",50.0,,1,,,,,,
1996,08,Toronto, Ontario,Total (house and land),"Index, 201612=100",50.0,,1,,,,,,
1996,09,Toronto, Ontario,Total (house and land),"Index, 201612=100",49.9,,1,,,,,,
1996,10,Toronto, Ontario,Total (house and land),"Index, 201612=100",50.0,,1,,,,,,
1996,11,Toronto, Ontario,Total (house and land),"Index, 201612=100",50.1,,1,,,,,,
1996,12,Toronto, Ontario,Total (house and land),"Index, 201612=100",50.1,,1,,,,,,
1997,01,Toronto, Ontario,Total (house and land),"Index, 201612=100",50.3,,1,,,,,,
1997,02,Toronto, Ontario,Total (house and land),"Index, 201612=100",50.4,,1,,,,,,
1997,03,Toronto, Ontario,Total (house and land),"Index, 201612=100",50.5,,1,,,,,,
1997,04,Toronto, Ontario,Total (house and land),"Index, 201612=100",50.9,,1,,,,,,
1997,05,Toronto, Ontario,Total (house and land),"Index, 201612=100",51.1,,1,,,,,,
1997,06,Toronto, Ontario,Total (house and land),"Index, 201612=100",51.1,,1,,,,,,
1997,07,Toronto, Ontario,Total (house and land),"Index, 201612=100",51.3,,1,,,,,,
1997,08,Toronto, Ontario,Total (house and land),"Index, 201612=100",51.3,,1,,,,,,
1997,09,Toronto, Ontario,Total (house and land),"Index, 201612=100",51.4,,1,,,,,,
1997,10,Toronto, Ontario,Total (house and land),"Index, 201612=100",51.4,,1,,,,,,
1997,11,Toronto, Ontario,Total (house and land),"Index, 201612=100",52.0,,1,,,,,,
1997,12,Toronto, Ontario,Total (house and land),"Index, 201612=100",52.1,,1,,,,,,
1998,01,Toronto, Ontario,Total (house and land),"Index, 201612=100",52.2,,1,,,,,,
1998,02,Toronto, Ontario,Total (house and land),"Index, 201612=100",52.3,,1,,,,,,
1998,03,Toronto, Ontario,Total (house and land),"Index, 201612=100",52.3,,1,,,,,,
1998,04,Toronto, Ontario,Total (house and land),"Index, 201612=100",52.5,,1,,,,,,
1998,05,Toronto, Ontario,Total (house and land),"Index, 201612=100",52.7,,1,,,,,,
1998,06,Toronto, Ontario,Total (house and land),"Index, 201612=100",52.8,,1,,,,,,
1998,07,Toronto, Ontario,Total (house and land),"Index, 201612=100",52.9,,1,,,,,,
1998,08,Toronto, Ontario,Total (house and land),"Index, 201612=100",52.9,,1,,,,,,
1998,09,Toronto, Ontario,Total (house and land),"Index, 201612=100",53.0,,1,,,,,,
1998,10,Toronto, Ontario,Total (house and land),"Index, 201612=100",53.1,,1,,,,,,
1998,11,Toronto, Ontario,Total (house and land),"Index, 201612=100",53.3,,1,,,,,,
1998,12,Toronto, Ontario,Total (house and land),"Index, 201612=100",53.2,,1,,,,,,
1999,01,Toronto, Ontario,Total (house and land),"Index, 201612=100",53.3,,1,,,,,,
1999,02,Toronto, Ontario,Total (house and land),"Index, 201612=100",53.4,,1,,,,,,
1999,03,Toronto, Ontario,Total (house and land),"Index, 201612=100",53.4,,1,,,,,,
1999,04,Toronto, Ontario,Total (house and land),"Index, 201612=100",53.5,,1,,,,,,
1999,05,Toronto, Ontario,Total (house and land),"Index, 201612=100",53.5,,1,,,,,,
1999,06,Toronto, Ontario,Total (house and land),"Index, 201612=100",53.5,,1,,,,,,
1999,07,Toronto, Ontario,Total (house and land),"Index, 201612=100",53.5,,1,,,,,,
1999,08,Toronto, Ontario,Total (house and land),"Index, 201612=100",53.6,,1,,,,,,
1999,09,Toronto, Ontario,Total (house and land),"Index, 201612=100",53.9,,1,,,,,,
1999,10,Toronto, Ontario,Total (house and land),"Index, 201612=100",54.0,,1,,,,,,
1999,11,Toronto, Ontario,Total (house and land),"Index, 201612=100",54.4,,1,,,,,,
1999,12,Toronto, Ontario,Total (house and land),"Index, 201612=100",54.5,,1,,,,,,
2000,01,Toronto, Ontario,Total (house and land),"Index, 201612=100",54.5,,1,,,,,,
2000,02,Toronto, Ontario,Total (house and land),"Index, 201612=100",54.8,,1,,,,,,
2000,03,Toronto, Ontario,Total (house and land),"Index, 201612=100",54.9,,1,,,,,,
2000,04,Toronto, Ontario,Total (house and land),"Index, 201612=100",55.0,,1,,,,,,
2000,05,Toronto, Ontario,Total (house and land),"Index, 201612=100",55.1,,1,,,,,,
2000,06,Toronto, Ontario,Total (house and land),"Index, 201612=100",55.1,,1,,,,,,
2000,07,Toronto, Ontario,Total (house and land),"Index, 201612=100",55.2,,1,,,,,,
2000,08,Toronto, Ontario,Total (house and land),"Index, 201612=100",55.3,,1,,,,,,
2000,09,Toronto, Ontario,Total (house and land),"Index, 201612=100",55.3,,1,,,,,,
2000,10,Toronto, Ontario,Total (house and land),"Index, 201612=100",55.4,,1,,,,,,
2000,11,Toronto, Ontario,Total (house and land),"Index, 201612=100",55.7,,1,,,,,,
2000,12,Toronto, Ontario,Total (house and land),"Index, 201612=100",55.8,,1,,,,,,
2001,01,Toronto, Ontario,Total (house and land),"Index, 201612=100",55.8,,1,,,,,,
2001,02,Toronto, Ontario,Total (house and land),"Index, 201612=100",55.9,,1,,,,,,
2001,03,Toronto, Ontario,Total (house and land),"Index, 201612=100",56.2,,1,,,,,,
2001,04,Toronto, Ontario,Total (house and land),"Index, 201612=100",56.3,,1,,,,,,
2001,05,Toronto, Ontario,Total (house and land),"Index, 201612=100",56.3,,1,,,,,,
2001,06,Toronto, Ontario,Total (house and land),"Index, 201612=100",56.5,,1,,,,,,
2001,07,Toronto, Ontario,Total (house and land),"Index, 201612=100",56.6,,1,,,,,,
2001,08,Toronto, Ontario,Total (house and land),"Index, 201612=100",56.7,,1,,,,,,
2001,09,Toronto, Ontario,Total (house and land),"Index, 201612=100",56.8,,1,,,,,,
2001,10,Toronto, Ontario,Total (house and land),"Index, 201612=100",56.8,,1,,,,,,
2001,11,Toronto, Ontario,Total (house and land),"Index, 201612=100",57.0,,1,,,,,,
2001,12,Toronto, Ontario,Total (house and land),"Index, 201612=100",57.0,,1,,,,,,
2002,01,Toronto, Ontario,Total (house and land),"Index, 201612=100",57.1,,1,,,,,,
2002,02,Toronto, Ontario,Total (house and land),"Index, 201612=100",57.6,,1,,,,,,
2002,03,Toronto, Ontario,Total (house and land),"Index, 201612=100",57.6,,1,,,,,,
2002,04,Toronto, Ontario,Total (house and land),"Index, 201612=100",57.9,,1,,,,,,
2002,05,Toronto, Ontario,Total (house and land),"Index, 201612=100",58.3,,1,,,,,,
2002,06,Toronto, Ontario,Total (house and land),"Index, 201612=100",58.3,,1,,,,,,
2002,07,Toronto, Ontario,Total (house and land),"Index, 201612=100",58.4,,1,,,,,,
2002,08,Toronto, Ontario,Total (house and land),"Index, 201612=100",58.7,,1,,,,,,
2002,09,Toronto, Ontario,Total (house and land),"Index, 201612=100",58.7,,1,,,,,,
2002,10,Toronto, Ontario,Total (house and land),"Index, 201612=100",59.1,,1,,,,,,
2002,11,Toronto, Ontario,Total (house and land),"Index, 201612=100",59.4,,1,,,,,,
2002,12,Toronto, Ontario,Total (house and land),"Index, 201612=100",59.5,,1,,,,,,
2003,01,Toronto, Ontario,Total (house and land),"Index, 201612=100",59.6,,1,,,,,,
2003,02,Toronto, Ontario,Total (house and land),"Index, 201612=100",59.9,,1,,,,,,
2003,03,Toronto, Ontario,Total (house and land),"Index, 201612=100",60.0,,1,,,,,,
2003,04,Toronto, Ontario,Total (house and land),"Index, 201612=100",60.2,,1,,,,,,
2003,05,Toronto, Ontario,Total (house and land),"Index, 201612=100",60.8,,1,,,,,,
2003,06,Toronto, Ontario,Total (house and land),"Index, 201612=100",60.9,,1,,,,,,
2003,07,Toronto, Ontario,Total (house and land),"Index, 201612=100",61.2,,1,,,,,,
2003,08,Toronto, Ontario,Total (house and land),"Index, 201612=100",61.6,,1,,,,,,
2003,09,Toronto, Ontario,Total (house and land),"Index, 201612=100",61.8,,1,,,,,,
2003,10,Toronto, Ontario,Total (house and land),"Index, 201612=100",62.0,,1,,,,,,
2003,11,Toronto, Ontario,Total (house and land),"Index, 201612=100",62.6,,1,,,,,,
2003,12,Toronto, Ontario,Total (house and land),"Index, 201612=100",62.7,,1,,,,,,
2004,01,Toronto, Ontario,Total (house and land),"Index, 201612=100",62.8,,1,,,,,,
2004,02,Toronto, Ontario,Total (house and land),"Index, 201612=100",63.1,,1,,,,,,
