Year,Month,City_Region,Province,NewHousePrice_Index_Type,UOM,VALUE,STATUS,DECIMALS
1992,7,Toronto, Ontario,Total (house and land),"Index, 201612=100",51.7,,1
1992,8,Toronto, Ontario,Total (house and land),"Index, 201612=100",51.6,,1
1992,9,Toronto, Ontario,Total (house and land),"Index, 201612=100",51.2,,1
1992,10,Toronto, Ontario,Total (house and land),"Index, 201612=100",51.2,,1
1992,11,Toronto, Ontario,Total (house and land),"Index, 201612=100",51.1,,1
1992,12,Toronto, Ontario,Total (house and land),"Index, 201612=100",51,,1
1993,1,Toronto, Ontario,Total (house and land),"Index, 201612=100",51,,1
1993,2,Toronto, Ontario,Total (house and land),"Index, 201612=100",50.6,,1
1993,3,Toronto, Ontario,Total (house and land),"Index, 201612=100",50.6,,1
1993,4,Toronto, Ontario,Total (house and land),"Index, 201612=100",50.5,,1
1993,5,Toronto, Ontario,Total (house and land),"Index, 201612=100",50.1,,1
1993,6,Toronto, Ontario,Total (house and land),"Index, 201612=100",50.7,,1
1993,7,Toronto, Ontario,Total (house and land),"Index, 201612=100",50.3,,1
1993,8,Toronto, Ontario,Total (house and land),"Index, 201612=100",50.5,,1
1993,9,Toronto, Ontario,Total (house and land),"Index, 201612=100",50.6,,1
1993,10,Toronto, Ontario,Total (house and land),"Index, 201612=100",50.3,,1
1993,11,Toronto, Ontario,Total (house and land),"Index, 201612=100",50.2,,1
1993,12,Toronto, Ontario,Total (house and land),"Index, 201612=100",50.2,,1
1994,1,Toronto, Ontario,Total (house and land),"Index, 201612=100",50.1,,1
1994,2,Toronto, Ontario,Total (house and land),"Index, 201612=100",50,,1
1994,3,Toronto, Ontario,Total (house and land),"Index, 201612=100",50.1,,1
1994,4,Toronto, Ontario,Total (house and land),"Index, 201612=100",50.1,,1
1994,5,Toronto, Ontario,Total (house and land),"Index, 201612=100",50.1,,1
1994,6,Toronto, Ontario,Total (house and land),"Index, 201612=100",50.4,,1
